period,lam1,mu1,rho1,wq1_theory,wq1_sim,lam2,mu2,rho2,wq2_theory,wq2_sim,turnaround_sim,n
Normal,4.833333333333333,10.398312221004879,0.15493967452300786,0.028305490247646926,0.016593521421107628,4.303030303030303,6.59428263312079,0.32626978114478117,1.083975570919453,1.4875586854460094,15.211504702194357,957
Month-End,13.11111111111111,10.35882804784374,0.4218981481481481,0.534693200487665,0.45697033898305084,11.305555555555555,6.696171500962472,0.8441805555555555,22.221341881637155,22.356117936117936,33.25292372881356,472
